Protein accession number,Latitude,Longitude,Exact sampling location,Coordinate evidence,Source URL
WP_318954214.1,Not reported,Not reported,"Micronesia, Federated States of: Federated State of Micronesia, ) in the Pacific Ocean",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN37986814 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP137555.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1032215
WP_353410179.1,GCF_040366405.1: 34.365,GCF_040366405.1: 133.217,"Japan:Hiroshima, Onomichi, Seto Inland Sea | depth: 7.7",GCF_040366405.1: BioSample SAMD00755679 lat_lon field: 34.365 N 133.217 E | GCF_040366405.1: GenBank NZ_BAABWF010000001.1 /lat_lon qualifier: 34.365 N 133.217 E,https://www.ncbi.nlm.nih.gov/biosample/SAMD00755679 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_BAABWF010000001.1
WP_475659072.1,GCF_056238625.1: 37.09,GCF_056238625.1: 122.35,China: Yellow sea,GCF_056238625.1: BioSample SAMN56505701 lat_lon field: 37.09 N 122.35 E | GCF_056238625.1: GenBank NZ_JBWDLI010000006.1 /lat_lon qualifier: 37.09 N 122.35 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN56505701 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JBWDLI010000006.1
WP_475089634.1,Not reported,Not reported,"USA: Atlantic ocean at Key West, Florida",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN51862012 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JBSWUI010000001.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1334387
WP_495483543.1,Not reported,Not reported,"USA: St. Augustine, Florida",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN56691313 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_CM182102.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1439895
WP_289097053.1,37.562,122.121,China | depth: 0,BioSample SAMEA112157124 latitude/longitude fields: 37.562; 122.121,https://www.ncbi.nlm.nih.gov/biosample/SAMEA112157124
WP_375185160.1,GCF_041984405.1: 17.04,GCF_041984405.1: 110,China: South China Sea | depth: 1000m,GCF_041984405.1: BioSample SAMN43537493 lat_lon field: 17.04 N 110.00 E | GCF_041984405.1: GenBank NZ_JBHIYE010000003.1 /lat_lon qualifier: 17.04 N 110.00 E | GCF_041984405.1: Parent BioSample SAMN43759935 lat_lon field: 17.04 N 110.00 E | GCF_041984405.1: Parent BioSample SAMN43759936 lat_lon field: 17.04 N 110.00 E | GCF_041984405.1: Parent BioSample SAMN43759937 lat_lon field: 17.04 N 110.00 E | GCF_041984405.1: Parent BioSample SAMN43759938 lat_lon field: 17.04 N 110.00 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN43537493 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JBHIYE010000003.1 | https://www.ncbi.nlm.nih.gov/biosample/SAMN43759935 | https://www.ncbi.nlm.nih.gov/biosample/SAMN43759936 | https://www.ncbi.nlm.nih.gov/biosample/SAMN43759937 | https://www.ncbi.nlm.nih.gov/biosample/SAMN43759938
WP_069947361.1,Not reported,Not reported,"Malaysia: Matang Mangrove, Perak",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN04334609 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP014143.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA305828
WP_416306217.1,Not reported,Not reported,China,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN39617320 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP150481.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1069610
WP_067085875.1,Not reported,Not reported,"GCF_001507605.1: Saudi Arabia: Red Sea | depth: 2000 m under the water | GCF_001641755.2: China:Yellow Sea, Qingdao",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN04376035 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_LQBR01000005.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA307149 | https://www.ncbi.nlm.nih.gov/biosample/SAMN04419353 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_LRFG02000005.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA309016
WP_101674902.1,Not reported,Not reported,Indian Ocean,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN07344861 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_NMQZ01000007.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA393908
WP_133493510.1,GCF_004360225.1: -23.463658,GCF_004360225.1: -70.504668,Chile: Antofagasta,GCF_004360225.1: BioSample SAMN11041869 lat_lon field: 23.463658 S 70.504668 W | GCF_004360225.1: GenBank NZ_SNUA01000024.1 /lat_lon qualifier: 23.463658 S 70.504668 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN11041869 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_SNUA01000024.1
WP_485163824.1,Not reported,Not reported,depth: 5,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMEA120694364 | https://www.ncbi.nlm.nih.gov/biosample/SAMEA2619815 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_CDSYMF010000068.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJEB104710
WP_317009323.1,GCF_032810065.1: 19.5,GCF_032810065.1: -96,Mexico: Gulf of Mexico | depth: 307 m,GCF_032810065.1: BioSample SAMN37711658 lat_lon field: 19.50 N 96.00 W | GCF_032810065.1: GenBank NZ_CP136538.1 /lat_lon qualifier: 19.50 N 96.00 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN37711658 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP136538.1
WP_244168483.1,34.42,34,GCF_002072815.1: Indian Ocean | GCF_001411415.1: Egypt,BioSample SAMEA3500511 latitude/longitude fields: 34.42; 34.00,https://www.ncbi.nlm.nih.gov/biosample/SAMEA3500511
WP_316308580.1,GCF_032680905.1: 39.54,GCF_032680905.1: 116.26,"China: Xiamen, Ocean | depth: 0",GCF_032680905.1: BioSample SAMN37670476 lat_lon field: 39.54 N 116.26 E | GCF_032680905.1: GenBank NZ_CP136240.1 /lat_lon qualifier: 39.54 N 116.26 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN37670476 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP136240.1
WP_416391079.1,Not reported,Not reported,Pacific Ocean,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN30158652 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP102389.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA866272
WP_433976675.1,GCF_051011735.1: 19.31 | GCF_051011755.1: 19.31,GCF_051011735.1: 109.34 | GCF_051011755.1: 109.34,GCF_051011735.1: China | depth: 1m-1.5m | GCF_051011755.1: China | depth: 1m-1.5m,GCF_051011735.1: BioSample SAMN48998828 lat_lon field: 19.31 N 109.34 E | GCF_051011735.1: GenBank NZ_JBPCIA010000005.1 /lat_lon qualifier: 19.31 N 109.34 E | GCF_051011755.1: BioSample SAMN48998834 lat_lon field: 19.31 N 109.34 E | GCF_051011755.1: GenBank NZ_JBPCIB010000006.1 /lat_lon qualifier: 19.31 N 109.34 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN48998828 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JBPCIA010000005.1 | https://www.ncbi.nlm.nih.gov/biosample/SAMN48998834 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JBPCIB010000006.1
WP_474365385.1,GCF_977548365.1: 38.55 | GCF_056783405.1: 10.504,GCF_977548365.1: 13.18 | GCF_056783405.1: 75.398,GCF_977548365.1: Mediterranean Sea | GCF_056783405.1: India: Arabian Sea | depth: 300m,GCF_977548365.1: BioSample SAMEA120726525 latitude/longitude fields: 38.55; 13.18 | GCF_977548365.1: Parent BioSample SAMN06266099 lat_lon field: 38.5500 N 13.1800 E | GCF_056783405.1: BioSample SAMN57193473 lat_lon field: 10.504 N 75.398 E | GCF_056783405.1: GenBank NZ_JBXBAT010000009.1 /lat_lon qualifier: 10.504 N 75.398 E,https://www.ncbi.nlm.nih.gov/biosample/SAMEA120726525 | https://www.ncbi.nlm.nih.gov/biosample/SAMN06266099 | https://www.ncbi.nlm.nih.gov/biosample/SAMN57193473 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JBXBAT010000009.1
WP_204431675.1,GCF_016906305.1: 18.921836,GCF_016906305.1: 72.834705,India: Arabian Sea | depth: 15cm,GCF_016906305.1: BioSample SAMN16453395 lat_lon field: 18.921836 N 72.834705 E | GCF_016906305.1: GenBank NZ_JADDOL010000041.1 /lat_lon qualifier: 18.921836 N 72.834705 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN16453395 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JADDOL010000041.1
WP_228233368.1,Not reported,Not reported,China:Wuhan | China: Wuhan,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN22211673 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAJGNA010000004.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA770179
WP_502013871.1,Not reported,Not reported,Singapore: Pulau Hantu,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN43052779 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP168308.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1145112
WP_485164795.1,Not reported,Not reported,depth: 5,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMEA120694404 | https://www.ncbi.nlm.nih.gov/biosample/SAMEA2622331 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_CDSXDM010000024.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJEB104710
WP_410308002.1,GCF_046507805.1: 29.949,GCF_046507805.1: 122.091,China: Hangzhou city | depth: 0,GCF_046507805.1: BioSample SAMN45997027 lat_lon field: 29.949 N 122.091 E | GCF_046507805.1: GenBank NZ_JBKFTK010000003.1 /lat_lon qualifier: 29.949 N 122.091 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN45997027 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JBKFTK010000003.1
WP_346839204.1,GCF_039696035.1: 15.513,GCF_039696035.1: 73.8704,India: Goa | depth: 1m,GCF_039696035.1: BioSample SAMN41278739 lat_lon field: 15.5130 N 73.8704 E | GCF_039696035.1: GenBank NZ_CP155567.1 /lat_lon qualifier: 15.5130 N 73.8704 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN41278739 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP155567.1
WP_475231578.1,Not reported,Not reported,"USA: Atlantic ocean at Key West, Florida",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN51862044 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JBSWTG010000001.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1334387
WP_194855806.1,Not reported,Not reported,superficial seawater from the Mediterranean Sea,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN16709231 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_ARXR01000010.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA161123
WP_474359680.1,GCF_977546175.1: 39.48,GCF_977546175.1: 7.24,Mediterranean Sea,GCF_977546175.1: BioSample SAMEA120726592 latitude/longitude fields: 39.48; 7.24 | GCF_977546175.1: Parent BioSample SAMN06265044 lat_lon field: 39.4800 N 7.2400 E,https://www.ncbi.nlm.nih.gov/biosample/SAMEA120726592 | https://www.ncbi.nlm.nih.gov/biosample/SAMN06265044
WP_410298276.1,GCF_046507615.1: 29.949,GCF_046507615.1: 122.091,China: Hangzhou city | depth: 0,GCF_046507615.1: BioSample SAMN45997028 lat_lon field: 29.949 N 122.091 E | GCF_046507615.1: GenBank NZ_JBKFTL010000001.1 /lat_lon qualifier: 29.949 N 122.091 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN45997028 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JBKFTL010000001.1
WP_475092319.1,Not reported,Not reported,"GCF_056312215.1: USA: Atlantic ocean at Key West, Florida | GCF_056159125.1: USA: Atlantic ocean at Key West, Florida | GCF_056160765.1: USA: Atlantic ocean at Key West, Florida",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN51861914 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_CM149983.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1334387 | https://www.ncbi.nlm.nih.gov/biosample/SAMN51862003 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JBSWUP010000001.1 | https://www.ncbi.nlm.nih.gov/biosample/SAMN51861910 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JBSWXV010000014.1
WP_474234444.1,GCF_977551685.1: 36.25,GCF_977551685.1: -122.2099,"USA | USA:Monterey Bay, California, USA",GCF_977551685.1: BioSample SAMEA120724611 latitude/longitude fields: 36.25; -122.2099 | GCF_977551685.1: Parent BioSample SAMN06267887 lat_lon field: 36.25 N 122.2099 W,https://www.ncbi.nlm.nih.gov/biosample/SAMEA120724611 | https://www.ncbi.nlm.nih.gov/biosample/SAMN06267887
WP_008486116.1,Not reported,Not reported,China,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN02471169 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_AMRI01000027.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA170514
WP_308160236.1,Not reported,Not reported,Indian Ocean: polymetallic sulfide region,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN19698113 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAHRID010000003.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA737525
WP_226877159.1,Not reported,Not reported,China: Ningbo City,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN16278380 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JACZCR010000054.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA666080
WP_473780318.1,GCF_977606865.1: 10.847,GCF_977606865.1: -65.114,Atlantic Ocean | Atlantic Ocean: Caribbean Sea: Cariaco Basin,GCF_977606865.1: BioSample SAMEA120730218 latitude/longitude fields: 10.847; -65.114 | GCF_977606865.1: Parent BioSample SAMN06343740 lat_lon field: 10.8470 N 65.1140 W,https://www.ncbi.nlm.nih.gov/biosample/SAMEA120730218 | https://www.ncbi.nlm.nih.gov/biosample/SAMN06343740
WP_423934416.1,GCF_049616465.1: 22.5675,GCF_049616465.1: 114.4555,China: Dapeng Bay | depth: 0.1,GCF_049616465.1: BioSample SAMN46377821 lat_lon field: 22.5675 N 114.4555 E | GCF_049616465.1: GenBank NZ_JBMZHK010000172.1 /lat_lon qualifier: 22.5675 N 114.4555 E | GCF_049616465.1: Parent BioSample SAMN38817981 lat_lon field: 22.5675 N 114.4555 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN46377821 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JBMZHK010000172.1 | https://www.ncbi.nlm.nih.gov/biosample/SAMN38817981
WP_423885108.1,GCF_049615305.1: 22.5675,GCF_049615305.1: 114.4555,China: Dapeng Bay | depth: 0.1,GCF_049615305.1: BioSample SAMN46377876 lat_lon field: 22.5675 N 114.4555 E | GCF_049615305.1: GenBank NZ_JBMZFH010000013.1 /lat_lon qualifier: 22.5675 N 114.4555 E | GCF_049615305.1: Parent BioSample SAMN38817983 lat_lon field: 22.5675 N 114.4555 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN46377876 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JBMZFH010000013.1 | https://www.ncbi.nlm.nih.gov/biosample/SAMN38817983
WP_214129931.1,Not reported,Not reported,Indian Ocean,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN19186168 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAHCTA010000002.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA729904
WP_473785057.1,GCF_977596165.1: -11.499 | GCF_977673245.1: 11.34,GCF_977596165.1: -81.401 | GCF_977673245.1: 142.33,GCF_977596165.1: Pacific Ocean | GCF_977673245.1: Pacific Ocean | Pacific Ocean:Mariana Trench,GCF_977596165.1: BioSample SAMEA120730155 latitude/longitude fields: -11.499; -81.401 | GCF_977596165.1: Parent BioSample SAMN06343726 lat_lon field: 11.4990 S 81.4010 W | GCF_977673245.1: BioSample SAMEA120737277 latitude/longitude fields: 11.34; 142.33 | GCF_977673245.1: Parent BioSample SAMN07748056 lat_lon field: 11.34 N 142.33 E,https://www.ncbi.nlm.nih.gov/biosample/SAMEA120730155 | https://www.ncbi.nlm.nih.gov/biosample/SAMN06343726 | https://www.ncbi.nlm.nih.gov/biosample/SAMEA120737277 | https://www.ncbi.nlm.nih.gov/biosample/SAMN07748056
WP_474367516.1,GCF_977722585.1: 11.34,GCF_977722585.1: 142.33,Pacific Ocean | Pacific Ocean:Mariana Trench,GCF_977722585.1: BioSample SAMEA120737434 latitude/longitude fields: 11.34; 142.33 | GCF_977722585.1: Parent BioSample SAMN07748055 lat_lon field: 11.34 N 142.33 E,https://www.ncbi.nlm.nih.gov/biosample/SAMEA120737434 | https://www.ncbi.nlm.nih.gov/biosample/SAMN07748055
WP_475364427.1,GCF_977671005.1: 11.34,GCF_977671005.1: 142.33,Pacific Ocean | Pacific Ocean:Mariana Trench,GCF_977671005.1: BioSample SAMEA120737362 latitude/longitude fields: 11.34; 142.33 | GCF_977671005.1: Parent BioSample SAMN07748057 lat_lon field: 11.34 N 142.33 E,https://www.ncbi.nlm.nih.gov/biosample/SAMEA120737362 | https://www.ncbi.nlm.nih.gov/biosample/SAMN07748057
WP_414828916.1,GCF_047556435.1: 3,GCF_047556435.1: 142.5,Pacific Ocean | depth: 3200m,GCF_047556435.1: BioSample SAMN45970368 lat_lon field: 3 N 142.5 E | GCF_047556435.1: GenBank NZ_CP180210.1 /lat_lon qualifier: 3 N 142.5 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN45970368 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP180210.1
WP_473781655.1,GCF_977547915.1: -13.003 | GCF_977551495.1: -14.51 | GCF_977570865.1: -13.003 | GCF_977585045.1: -13.003 | GCF_977596005.1: -13.003 | GCF_977596125.1: -11.499 | GCF_977606395.1: -13.003 | GCF_977608535.1: -14.51 | GCF_977653285.1: -14.509,GCF_977547915.1: -80.809 | GCF_977551495.1: -76.2 | GCF_977570865.1: -80.809 | GCF_977585045.1: -80.809 | GCF_977596005.1: -80.809 | GCF_977596125.1: -81.405 | GCF_977606395.1: -80.809 | GCF_977608535.1: -76.2 | GCF_977653285.1: -76.201,GCF_977547915.1: Pacific Ocean | GCF_977551495.1: Pacific Ocean | GCF_977570865.1: Pacific Ocean | GCF_977585045.1: Pacific Ocean | GCF_977596005.1: Pacific Ocean | GCF_977596125.1: Pacific Ocean | GCF_977606395.1: Pacific Ocean | GCF_977608535.1: Pacific Ocean | GCF_977653285.1: Pacific Ocean | Pacific Ocean:Subarctic Pacific Ocean,GCF_977547915.1: BioSample SAMEA120725221 latitude/longitude fields: -13.003; -80.809 | GCF_977547915.1: Parent BioSample SAMN06266226 lat_lon field: 13.0030 S 80.8090 W | GCF_977551495.1: BioSample SAMEA120725230 latitude/longitude fields: -14.51; -76.2 | GCF_977551495.1: Parent BioSample SAMN06264534 lat_lon field: 14.51 S 76.20 W | GCF_977570865.1: BioSample SAMEA120725213 latitude/longitude fields: -13.003; -80.809 | GCF_977570865.1: Parent BioSample SAMN06266226 lat_lon field: 13.0030 S 80.8090 W | GCF_977585045.1: BioSample SAMEA120730129 latitude/longitude fields: -13.003; -80.809 | GCF_977585045.1: Parent BioSample SAMN06343721 lat_lon field: 13.0030 S 80.8090 W | GCF_977596005.1: BioSample SAMEA120730112 latitude/longitude fields: -13.003; -80.809 | GCF_977596005.1: Parent BioSample SAMN06343719 lat_lon field: 13.0030 S 80.8090 W | GCF_977596125.1: BioSample SAMEA120730141 latitude/longitude fields: -11.499; -81.405 | GCF_977596125.1: Parent BioSample SAMN06343724 lat_lon field: 11.4990 S 81.4050 W | GCF_977606395.1: BioSample SAMEA120730119 latitude/longitude fields: -13.003; -80.809 | GCF_977606395.1: Parent BioSample SAMN06343720 lat_lon field: 13.0030 S 80.8090 W | GCF_977608535.1: BioSample SAMEA120730194 latitude/longitude fields: -14.51; -76.2 | GCF_977608535.1: Parent BioSample SAMN06343735 lat_lon field: 14.51 S 76.20 W | GCF_977653285.1: BioSample SAMEA120736431 latitude/longitude fields: -14.509; -76.201 | GCF_977653285.1: Parent BioSample SAMN07631166 lat_lon field: 14.5090 S 76.2010 W,https://www.ncbi.nlm.nih.gov/biosample/SAMEA120725221 | https://www.ncbi.nlm.nih.gov/biosample/SAMN06266226 | https://www.ncbi.nlm.nih.gov/biosample/SAMEA120725230 | https://www.ncbi.nlm.nih.gov/biosample/SAMN06264534 | https://www.ncbi.nlm.nih.gov/biosample/SAMEA120725213 | https://www.ncbi.nlm.nih.gov/biosample/SAMEA120730129 | https://www.ncbi.nlm.nih.gov/biosample/SAMN06343721 | https://www.ncbi.nlm.nih.gov/biosample/SAMEA120730112 | https://www.ncbi.nlm.nih.gov/biosample/SAMN06343719 | https://www.ncbi.nlm.nih.gov/biosample/SAMEA120730141 | https://www.ncbi.nlm.nih.gov/biosample/SAMN06343724 | https://www.ncbi.nlm.nih.gov/biosample/SAMEA120730119 | https://www.ncbi.nlm.nih.gov/biosample/SAMN06343720 | https://www.ncbi.nlm.nih.gov/biosample/SAMEA120730194 | https://www.ncbi.nlm.nih.gov/biosample/SAMN06343735 | https://www.ncbi.nlm.nih.gov/biosample/SAMEA120736431 | https://www.ncbi.nlm.nih.gov/biosample/SAMN07631166
WP_043321053.1,Not reported,Not reported,"GCF_056503825.1: China: Zhoushan, Zhejiang Province | GCF_000708675.1: China: East China Sea",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN43393937 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP181332.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1153437 | https://www.ncbi.nlm.nih.gov/biosample/SAMN02641169 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JELR01000006.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA236345
WP_485154554.1,Not reported,Not reported,GCF_977254865.1: depth: 5 | GCF_977266405.1: depth: 5,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMEA120694275 | https://www.ncbi.nlm.nih.gov/biosample/SAMEA2619815 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_CDSVZV010000006.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJEB104710 | https://www.ncbi.nlm.nih.gov/biosample/SAMEA120694382 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_CDSXSH010000003.1
WP_464948910.1,GCF_055475805.1: 49.5078,GCF_055475805.1: -124.8272709,"Canada: Fanny Bay, Vancouver Island, British Columbia",GCF_055475805.1: BioSample SAMN41075317 lat_lon field: 49.5078 N 124.8272709 W | GCF_055475805.1: GenBank NZ_CP152402.1 /lat_lon qualifier: 49.5078 N 124.8272709 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN41075317 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP152402.1
WP_406827977.1,GCF_045348205.1: 17.488568,GCF_045348205.1: 106.628368,Viet Nam,GCF_045348205.1: BioSample SAMN40991322 lat_lon field: 17.488568 N 106.628368 E | GCF_045348205.1: GenBank NZ_CP155838.1 /lat_lon qualifier: 17.488568 N 106.628368 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN40991322 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP155838.1
WP_417359899.1,GCF_048266125.1: 36.04,GCF_048266125.1: 120.26,China: Qingdao | depth: 1,GCF_048266125.1: BioSample SAMN46274190 lat_lon field: 36.04 N 120.26 E | GCF_048266125.1: GenBank NZ_JBLXAC010000003.1 /lat_lon qualifier: 36.04 N 120.26 E | GCF_048266125.1: Parent BioSample SAMN47146577 lat_lon field: 36.04 N 120.26 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN46274190 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JBLXAC010000003.1 | https://www.ncbi.nlm.nih.gov/biosample/SAMN47146577
WP_417358013.1,GCF_048263045.1: 36.04,GCF_048263045.1: 120.26,China: Qingdao | depth: 1,GCF_048263045.1: BioSample SAMN46274307 lat_lon field: 36.04 N 120.26 E | GCF_048263045.1: GenBank NZ_JBLXEP010000014.1 /lat_lon qualifier: 36.04 N 120.26 E | GCF_048263045.1: Parent BioSample SAMN47146592 lat_lon field: 36.04 N 120.26 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN46274307 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JBLXEP010000014.1 | https://www.ncbi.nlm.nih.gov/biosample/SAMN47146592
WP_483429720.1,Not reported,Not reported,depth: 150,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMEA120692100 | https://www.ncbi.nlm.nih.gov/biosample/SAMEA2622736 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_CDSVBN010000030.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJEB104710
WP_228548738.1,Not reported,Not reported,marine sediment from the Pacific Ocean,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN16709230 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_ARXX01000060.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA161039
WP_475647339.1,GCF_977689555.1: -16.21,GCF_977689555.1: -76.63,Pacific Ocean | Pacific Ocean:Subarctic Pacific Ocean,GCF_977689555.1: BioSample SAMEA120736446 latitude/longitude fields: -16.21; -76.63 | GCF_977689555.1: Parent BioSample SAMN07631169 lat_lon field: 16.21 S 76.63 W,https://www.ncbi.nlm.nih.gov/biosample/SAMEA120736446 | https://www.ncbi.nlm.nih.gov/biosample/SAMN07631169
WP_273024228.1,40,-32,Atlantic Ocean | depth: 100 m,GenBank NZ_PKDI01000131.1 /lat_lon qualifier: 40 N 32 W,https://www.ncbi.nlm.nih.gov/nuccore/NZ_PKDI01000131.1
WP_062478888.1,GCF_001466725.1: 36.95428158,GCF_001466725.1: 126.81518554,South Korea: Asan bay tidal flat | depth: 1 meter,GCF_001466725.1: BioSample SAMN04324273 lat_lon field: 36.95428158 N 126.81518554 E | GCF_001466725.1: GenBank NZ_CP013650.1 /lat_lon qualifier: 36.95428158 N 126.81518554 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN04324273 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP013650.1
WP_475148261.1,Not reported,Not reported,"GCF_059429535.1: USA: Isle of Palms, South Carolina | GCF_056160525.1: USA: Atlantic ocean at Key West, Florida",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN56691310 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_CM182103.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1439895 | https://www.ncbi.nlm.nih.gov/biosample/SAMN51861924 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JBSWXI010000001.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1334387
